User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
4.74,0.19,0:05.87,84%,4708049
4.72,0.10,0:04.83,99%,4708049
4.72,0.08,0:04.87,98%,4708049
4.71,0.10,0:04.82,99%,4708049
4.73,0.08,0:04.82,99%,4708049
4.69,0.11,0:04.81,99%,4708049
4.71,0.09,0:04.87,98%,4708049
4.76,0.04,0:04.82,99%,4708049
4.73,0.07,0:04.82,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.70,0.11,0:04.81,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.73,0.07,0:04.82,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.71,0.10,0:04.82,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.69,0.11,0:04.82,99%,4708049
4.68,0.12,0:04.82,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.71,0.09,0:04.82,99%,4708049
4.75,0.05,0:04.81,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.68,0.13,0:04.82,99%,4708049
4.72,0.08,0:04.82,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.72,0.07,0:04.81,99%,4708049
4.72,0.08,0:04.84,99%,4708049
4.68,0.13,0:04.82,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.75,0.06,0:04.82,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.72,0.08,0:04.82,99%,4708049
4.72,0.09,0:04.81,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.74,0.06,0:04.81,99%,4708049
4.71,0.10,0:04.82,99%,4708049
4.74,0.06,0:04.81,99%,4708049
4.71,0.10,0:04.82,99%,4708049
4.73,0.08,0:04.82,99%,4708049
4.73,0.08,0:04.82,99%,4708049
4.74,0.06,0:04.82,99%,4708049
4.71,0.09,0:04.82,99%,4708049
4.70,0.10,0:04.82,99%,4708049
4.72,0.08,0:04.82,99%,4708049
4.68,0.12,0:04.81,99%,4708049
4.74,0.07,0:04.81,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.72,0.08,0:04.82,99%,4708049
4.69,0.12,0:04.82,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.73,0.07,0:04.82,99%,4708049
4.71,0.10,0:04.82,99%,4708049
4.73,0.08,0:04.82,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.76,0.05,0:04.89,98%,4708049
4.71,0.08,0:04.80,99%,4708049
4.73,0.07,0:04.82,99%,4708049
4.69,0.12,0:04.82,99%,4708049
4.69,0.12,0:04.81,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.74,0.07,0:04.82,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.76,0.06,0:04.83,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.66,0.15,0:04.82,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.76,0.05,0:04.82,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.69,0.12,0:04.81,99%,4708049
4.70,0.11,0:04.82,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.73,0.08,0:04.86,98%,4708049
4.72,0.09,0:04.82,99%,4708049
4.68,0.12,0:04.82,99%,4708049
4.71,0.09,0:04.82,99%,4708049
4.70,0.11,0:04.81,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.73,0.08,0:04.82,99%,4708049
4.74,0.07,0:04.82,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.67,0.13,0:04.81,99%,4708049
4.75,0.05,0:04.81,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.69,0.11,0:04.81,99%,4708049
4.68,0.12,0:04.81,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.73,0.08,0:04.82,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.67,0.13,0:04.81,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.71,0.09,0:04.82,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.74,0.07,0:04.81,99%,4708049
4.75,0.06,0:04.82,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.74,0.06,0:04.81,99%,4708049
4.70,0.09,0:04.81,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.74,0.06,0:04.81,99%,4708049
4.71,0.09,0:04.82,99%,4708049
4.70,0.10,0:04.82,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.76,0.05,0:04.82,99%,4708049
4.73,0.08,0:04.82,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.73,0.08,0:04.82,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.69,0.11,0:04.81,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.73,0.08,0:04.82,99%,4708049
4.69,0.11,0:04.81,99%,4708049
4.72,0.08,0:04.82,99%,4708049
4.65,0.15,0:04.81,99%,4708049
4.73,0.07,0:04.82,99%,4708049
4.71,0.10,0:04.82,99%,4708049
4.69,0.11,0:04.82,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.71,0.09,0:04.82,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.73,0.08,0:04.82,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.68,0.12,0:04.81,99%,4708049
4.72,0.09,0:04.81,99%,4708049
4.74,0.08,0:04.82,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.75,0.05,0:04.81,99%,4708049
4.68,0.12,0:04.81,99%,4708049
4.68,0.12,0:04.81,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.70,0.11,0:04.81,99%,4708049
4.72,0.08,0:04.81,99%,4708049
4.69,0.11,0:04.81,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.73,0.07,0:04.86,98%,4708049
4.73,0.08,0:04.82,99%,4708049
4.74,0.07,0:04.81,99%,4708049
4.75,0.06,0:04.82,99%,4708049
4.73,0.08,0:04.81,99%,4708049
4.69,0.11,0:04.81,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.74,0.06,0:04.81,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.71,0.09,0:04.80,99%,4708049
4.71,0.10,0:04.82,99%,4708049
4.73,0.07,0:04.81,99%,4708049
4.73,0.08,0:04.82,99%,4708049
4.73,0.08,0:04.82,99%,4708049
4.73,0.07,0:04.80,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.72,0.09,0:04.82,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.72,0.07,0:04.80,99%,4708049
4.73,0.08,0:04.81,99%,4708049
4.72,0.09,0:04.81,99%,4708049
4.73,0.07,0:04.82,99%,4708049
4.67,0.13,0:04.80,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.73,0.07,0:04.86,98%,4708049
4.70,0.10,0:04.81,99%,4708049
4.71,0.09,0:04.81,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.70,0.10,0:04.81,99%,4708049
4.74,0.07,0:04.82,99%,4708049
