User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
2.40,0.07,0:02.98,82%,2354372
2.34,0.07,0:02.41,99%,2354372
2.36,0.05,0:02.41,100%,2354372
2.34,0.05,0:02.40,99%,2354372
2.37,0.03,0:02.41,99%,2354372
2.38,0.02,0:02.40,100%,2354372
2.35,0.04,0:02.40,100%,2354372
2.36,0.04,0:02.41,99%,2354372
2.35,0.04,0:02.40,100%,2354372
2.34,0.06,0:02.41,99%,2354372
2.34,0.07,0:02.41,100%,2354372
2.35,0.05,0:02.40,99%,2354372
2.36,0.04,0:02.40,100%,2354372
2.39,0.03,0:02.42,99%,2354372
2.36,0.03,0:02.40,99%,2354372
2.35,0.04,0:02.40,99%,2354372
2.37,0.03,0:02.41,99%,2354372
2.37,0.03,0:02.41,99%,2354372
2.35,0.05,0:02.40,99%,2354372
2.35,0.05,0:02.40,100%,2354372
2.36,0.04,0:02.40,100%,2354372
2.37,0.03,0:02.40,100%,2354372
2.34,0.06,0:02.41,99%,2354372
2.38,0.02,0:02.41,99%,2354372
2.35,0.05,0:02.40,99%,2354372
2.37,0.03,0:02.40,99%,2354372
2.35,0.05,0:02.41,99%,2354372
2.34,0.06,0:02.40,100%,2354372
2.34,0.06,0:02.40,100%,2354372
2.36,0.04,0:02.40,99%,2354372
2.37,0.02,0:02.40,99%,2354372
2.37,0.03,0:02.40,99%,2354372
2.36,0.03,0:02.40,99%,2354372
2.36,0.04,0:02.40,100%,2354372
2.36,0.04,0:02.41,100%,2354372
2.35,0.06,0:02.41,100%,2354372
2.34,0.06,0:02.41,99%,2354372
2.34,0.05,0:02.40,99%,2354372
2.37,0.03,0:02.41,99%,2354372
2.34,0.05,0:02.40,99%,2354372
2.36,0.04,0:02.40,99%,2354372
2.36,0.04,0:02.40,100%,2354372
2.34,0.06,0:02.40,100%,2354372
2.35,0.05,0:02.40,100%,2354372
2.36,0.04,0:02.40,99%,2354372
2.37,0.02,0:02.40,99%,2354372
2.35,0.05,0:02.40,100%,2354372
2.36,0.04,0:02.40,99%,2354372
2.36,0.04,0:02.40,100%,2354372
2.35,0.04,0:02.40,99%,2354372
2.36,0.04,0:02.40,99%,2354372
2.36,0.03,0:02.40,99%,2354372
2.34,0.06,0:02.40,99%,2354372
2.36,0.04,0:02.41,99%,2354372
2.38,0.02,0:02.40,99%,2354372
2.35,0.04,0:02.40,99%,2354372
2.34,0.05,0:02.40,100%,2354372
2.38,0.02,0:02.40,100%,2354372
2.37,0.03,0:02.40,99%,2354372
2.37,0.03,0:02.41,99%,2354372
2.35,0.05,0:02.40,99%,2354372
2.35,0.05,0:02.41,100%,2354372
2.34,0.05,0:02.40,100%,2354372
2.36,0.04,0:02.41,99%,2354372
2.36,0.04,0:02.40,100%,2354372
2.35,0.05,0:02.40,99%,2354372
2.34,0.06,0:02.40,99%,2354372
2.33,0.07,0:02.40,99%,2354372
2.36,0.04,0:02.40,99%,2354372
2.33,0.07,0:02.40,99%,2354372
2.37,0.03,0:02.40,100%,2354372
2.37,0.02,0:02.40,99%,2354372
2.33,0.07,0:02.41,99%,2354372
2.37,0.03,0:02.40,99%,2354372
2.36,0.05,0:02.41,99%,2354372
2.34,0.06,0:02.40,99%,2354372
2.36,0.04,0:02.40,99%,2354372
2.37,0.04,0:02.41,100%,2354372
2.36,0.04,0:02.40,99%,2354372
2.34,0.05,0:02.40,99%,2354372
2.35,0.04,0:02.40,99%,2354372
2.37,0.03,0:02.40,100%,2354372
2.37,0.03,0:02.40,100%,2354372
2.36,0.04,0:02.40,99%,2354372
2.34,0.05,0:02.40,99%,2354372
2.33,0.06,0:02.40,99%,2354372
2.37,0.03,0:02.40,99%,2354372
2.38,0.02,0:02.40,100%,2354372
2.37,0.03,0:02.40,100%,2354372
2.35,0.05,0:02.41,99%,2354372
2.36,0.04,0:02.40,100%,2354372
2.35,0.05,0:02.40,99%,2354372
2.37,0.03,0:02.41,99%,2354372
2.36,0.04,0:02.41,99%,2354372
2.36,0.03,0:02.40,99%,2354372
2.34,0.05,0:02.40,99%,2354372
2.35,0.04,0:02.40,99%,2354372
2.34,0.06,0:02.40,99%,2354372
2.35,0.05,0:02.40,99%,2354372
2.38,0.02,0:02.40,99%,2354372
2.37,0.03,0:02.40,99%,2354372
2.35,0.05,0:02.41,99%,2354372
2.37,0.03,0:02.41,99%,2354372
2.36,0.04,0:02.40,99%,2354372
2.37,0.03,0:02.41,99%,2354372
2.36,0.04,0:02.41,99%,2354372
2.38,0.01,0:02.40,99%,2354372
2.34,0.06,0:02.40,99%,2354372
2.37,0.03,0:02.41,99%,2354372
2.36,0.03,0:02.40,99%,2354372
2.36,0.04,0:02.41,100%,2354372
2.38,0.02,0:02.40,100%,2354372
2.35,0.05,0:02.40,100%,2354372
2.33,0.07,0:02.40,99%,2354372
2.38,0.02,0:02.40,100%,2354372
2.35,0.05,0:02.41,99%,2354372
2.35,0.05,0:02.41,99%,2354372
2.35,0.05,0:02.40,99%,2354372
2.35,0.05,0:02.41,99%,2354372
2.35,0.05,0:02.41,99%,2354372
2.36,0.04,0:02.40,100%,2354372
2.35,0.05,0:02.41,100%,2354372
2.36,0.04,0:02.40,100%,2354372
2.37,0.03,0:02.40,100%,2354372
2.35,0.05,0:02.41,99%,2354372
2.35,0.06,0:02.41,100%,2354372
2.37,0.03,0:02.40,99%,2354372
2.36,0.03,0:02.40,100%,2354372
2.36,0.04,0:02.40,100%,2354372
2.35,0.04,0:02.40,99%,2354372
2.34,0.05,0:02.40,99%,2354372
2.35,0.05,0:02.40,100%,2354372
2.33,0.06,0:02.40,100%,2354372
2.35,0.05,0:02.40,100%,2354372
2.38,0.01,0:02.40,99%,2354372
2.37,0.03,0:02.40,99%,2354372
2.36,0.03,0:02.40,99%,2354372
2.38,0.02,0:02.40,99%,2354372
2.35,0.05,0:02.40,99%,2354372
2.36,0.04,0:02.41,99%,2354372
2.38,0.02,0:02.41,99%,2354372
2.34,0.06,0:02.41,99%,2354372
2.35,0.05,0:02.40,99%,2354372
2.35,0.04,0:02.40,99%,2354372
2.36,0.04,0:02.51,95%,2354372
2.35,0.05,0:02.40,99%,2354372
2.35,0.04,0:02.40,99%,2354372
2.34,0.06,0:02.40,100%,2354372
2.37,0.03,0:02.40,100%,2354372
2.37,0.03,0:02.41,99%,2354372
2.36,0.04,0:02.41,99%,2354372
2.35,0.05,0:02.40,99%,2354372
2.37,0.04,0:02.41,100%,2354372
2.37,0.03,0:02.40,99%,2354372
2.34,0.05,0:02.40,99%,2354372
2.36,0.03,0:02.40,100%,2354372
2.38,0.02,0:02.40,99%,2354372
2.37,0.03,0:02.41,99%,2354372
2.35,0.05,0:02.40,99%,2354372
2.36,0.04,0:02.40,100%,2354372
2.34,0.05,0:02.40,99%,2354372
2.36,0.03,0:02.40,99%,2354372
2.37,0.03,0:02.41,99%,2354372
2.36,0.04,0:02.40,100%,2354372
2.36,0.04,0:02.40,99%,2354372
2.37,0.04,0:02.41,99%,2354372
2.36,0.05,0:02.41,99%,2354372
2.36,0.04,0:02.40,100%,2354372
2.34,0.06,0:02.40,100%,2354372
2.37,0.03,0:02.40,100%,2354372
2.37,0.03,0:02.40,99%,2354372
2.35,0.05,0:02.41,99%,2354372
2.34,0.06,0:02.41,100%,2354372
2.34,0.05,0:02.40,99%,2354372
2.35,0.05,0:02.40,99%,2354372
2.35,0.04,0:02.40,99%,2354372
2.34,0.06,0:02.40,99%,2354372
2.33,0.06,0:02.40,99%,2354372
2.34,0.06,0:02.40,100%,2354372
2.38,0.02,0:02.41,99%,2354372
2.36,0.04,0:02.40,100%,2354372
2.35,0.05,0:02.40,99%,2354372
2.36,0.04,0:02.40,99%,2354372
2.35,0.04,0:02.40,99%,2354372
2.35,0.05,0:02.41,99%,2354372
2.36,0.03,0:02.40,99%,2354372
2.37,0.03,0:02.40,100%,2354372
2.37,0.03,0:02.41,99%,2354372
2.34,0.05,0:02.40,99%,2354372
2.36,0.03,0:02.40,99%,2354372
2.36,0.03,0:02.40,99%,2354372
2.38,0.02,0:02.41,100%,2354372
2.37,0.03,0:02.40,99%,2354372
2.37,0.03,0:02.41,99%,2354372
2.36,0.04,0:02.41,99%,2354372
2.38,0.02,0:02.40,100%,2354372
2.35,0.05,0:02.41,100%,2354372
2.34,0.06,0:02.44,98%,2354372
2.34,0.05,0:02.40,99%,2354372
2.33,0.06,0:02.40,99%,2354372
