User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
9.46,0.43,0:12.08,81%,9415350
9.43,0.20,0:09.65,99%,9415350
9.45,0.16,0:09.62,99%,9415350
9.46,0.18,0:09.65,99%,9415350
9.45,0.17,0:09.63,99%,9415350
9.44,0.17,0:09.62,99%,9415350
9.43,0.17,0:09.63,99%,9415350
9.44,0.17,0:09.62,99%,9415350
9.37,0.24,0:09.63,99%,9415350
9.45,0.17,0:09.63,99%,9415350
9.45,0.16,0:09.73,98%,9415350
9.39,0.23,0:09.63,99%,9415350
9.39,0.21,0:09.62,99%,9415350
9.43,0.17,0:09.62,99%,9415350
9.46,0.16,0:09.63,99%,9415350
9.42,0.19,0:09.63,99%,9415350
9.41,0.19,0:09.63,99%,9415350
9.41,0.20,0:09.75,98%,9415350
9.44,0.16,0:09.62,99%,9415350
9.43,0.17,0:09.62,99%,9415350
9.41,0.21,0:09.63,99%,9415350
9.43,0.17,0:09.71,98%,9415350
9.43,0.19,0:09.64,99%,9415350
9.44,0.17,0:09.77,98%,9415350
9.41,0.19,0:09.61,99%,9415350
9.43,0.17,0:09.61,99%,9415350
9.43,0.18,0:09.62,99%,9415350
9.43,0.19,0:09.63,99%,9415350
9.43,0.17,0:09.61,99%,9415350
9.46,0.15,0:09.62,99%,9415350
9.43,0.18,0:09.62,99%,9415350
9.45,0.15,0:09.61,99%,9415350
9.44,0.18,0:09.63,99%,9415350
9.46,0.16,0:09.62,99%,9415350
9.46,0.15,0:09.61,99%,9415350
9.43,0.17,0:09.67,99%,9415350
9.45,0.15,0:09.62,99%,9415350
9.45,0.15,0:09.72,98%,9415350
9.40,0.21,0:09.61,99%,9415350
9.43,0.18,0:09.63,99%,9415350
9.47,0.14,0:09.62,99%,9415350
9.42,0.19,0:09.63,99%,9415350
9.46,0.15,0:09.62,99%,9415350
9.42,0.19,0:09.62,99%,9415350
9.41,0.18,0:09.61,99%,9415350
9.44,0.17,0:09.62,99%,9415350
9.45,0.16,0:09.62,99%,9415350
9.48,0.13,0:09.62,99%,9415350
9.41,0.19,0:09.62,99%,9415350
9.41,0.19,0:09.61,99%,9415350
9.41,0.19,0:09.62,99%,9415350
9.45,0.16,0:09.62,99%,9415350
9.42,0.18,0:09.62,99%,9415350
9.45,0.20,0:09.66,99%,9415350
9.46,0.15,0:09.62,99%,9415350
9.43,0.18,0:09.81,98%,9415350
9.39,0.21,0:09.62,99%,9415350
9.46,0.15,0:09.62,99%,9415350
9.45,0.16,0:09.62,99%,9415350
9.46,0.15,0:09.62,99%,9415350
9.39,0.22,0:09.62,99%,9415350
9.45,0.17,0:09.63,99%,9415350
9.43,0.19,0:09.70,99%,9415350
9.41,0.21,0:09.63,99%,9415350
9.43,0.19,0:09.63,99%,9415350
9.45,0.16,0:09.62,99%,9415350
9.46,0.16,0:09.77,98%,9415350
9.46,0.15,0:09.62,99%,9415350
9.38,0.23,0:09.62,99%,9415350
9.42,0.19,0:09.62,99%,9415350
9.42,0.19,0:09.63,99%,9415350
9.41,0.22,0:09.78,98%,9415350
9.38,0.22,0:09.61,99%,9415350
9.41,0.19,0:09.62,99%,9415350
9.42,0.19,0:09.62,99%,9415350
9.41,0.19,0:09.61,99%,9415350
9.40,0.19,0:09.61,99%,9415350
9.44,0.18,0:09.63,99%,9415350
9.45,0.17,0:09.63,99%,9415350
9.43,0.17,0:09.61,99%,9415350
9.39,0.23,0:09.63,99%,9415350
9.47,0.13,0:09.61,99%,9415350
9.43,0.19,0:09.63,99%,9415350
9.41,0.20,0:09.62,99%,9415350
9.46,0.15,0:09.63,99%,9415350
9.44,0.16,0:09.61,99%,9415350
9.42,0.19,0:09.77,98%,9415350
9.44,0.17,0:09.63,99%,9415350
9.44,0.18,0:09.63,99%,9415350
9.41,0.19,0:09.61,99%,9415350
9.43,0.19,0:09.64,99%,9415350
9.45,0.15,0:09.68,99%,9415350
9.44,0.17,0:09.62,99%,9415350
9.44,0.16,0:09.62,99%,9415350
9.42,0.19,0:09.62,99%,9415350
9.50,0.11,0:09.61,99%,9415350
9.46,0.16,0:09.63,99%,9415350
9.46,0.15,0:09.74,98%,9415350
9.41,0.20,0:09.62,99%,9415350
9.40,0.21,0:09.62,99%,9415350
9.43,0.21,0:09.65,99%,9415350
9.47,0.14,0:09.62,99%,9415350
9.43,0.17,0:09.71,98%,9415350
9.48,0.12,0:09.62,99%,9415350
9.43,0.17,0:09.62,99%,9415350
9.46,0.15,0:09.70,99%,9415350
9.42,0.19,0:09.62,99%,9415350
9.40,0.19,0:09.61,99%,9415350
9.42,0.19,0:09.62,99%,9415350
9.41,0.21,0:09.64,99%,9415350
9.42,0.19,0:09.61,99%,9415350
9.39,0.23,0:09.63,99%,9415350
9.42,0.19,0:09.62,99%,9415350
9.47,0.15,0:09.63,99%,9415350
9.46,0.15,0:09.62,99%,9415350
9.48,0.14,0:09.63,99%,9415350
9.39,0.22,0:09.62,99%,9415350
9.38,0.24,0:09.63,99%,9415350
9.43,0.17,0:09.61,99%,9415350
9.39,0.21,0:09.77,98%,9415350
9.48,0.15,0:09.64,99%,9415350
9.43,0.17,0:09.78,98%,9415350
9.45,0.16,0:09.62,99%,9415350
9.44,0.16,0:09.61,99%,9415350
9.43,0.19,0:09.63,99%,9415350
9.38,0.23,0:09.62,99%,9415350
9.39,0.23,0:09.63,99%,9415350
9.45,0.16,0:09.62,99%,9415350
9.41,0.21,0:09.68,99%,9415350
9.49,0.12,0:09.77,98%,9415350
9.48,0.14,0:09.63,99%,9415350
9.48,0.13,0:09.62,99%,9415350
9.39,0.24,0:09.64,99%,9415350
9.48,0.15,0:09.64,99%,9415350
9.43,0.18,0:09.62,99%,9415350
9.39,0.21,0:09.76,98%,9415350
9.42,0.19,0:09.62,99%,9415350
9.41,0.19,0:09.62,99%,9415350
9.45,0.17,0:09.63,99%,9415350
9.47,0.15,0:09.63,99%,9415350
9.44,0.17,0:09.62,99%,9415350
9.46,0.15,0:09.62,99%,9415350
9.44,0.17,0:09.62,99%,9415350
9.42,0.19,0:09.62,99%,9415350
9.49,0.12,0:09.62,99%,9415350
9.48,0.13,0:09.62,99%,9415350
9.42,0.19,0:09.62,99%,9415350
9.45,0.17,0:09.76,98%,9415350
9.42,0.19,0:09.62,99%,9415350
9.47,0.14,0:09.62,99%,9415350
9.41,0.19,0:09.61,99%,9415350
9.41,0.21,0:09.62,99%,9415350
9.40,0.21,0:09.62,99%,9415350
9.45,0.17,0:09.64,99%,9415350
9.39,0.21,0:09.61,99%,9415350
9.46,0.16,0:09.63,99%,9415350
9.44,0.18,0:09.63,99%,9415350
9.45,0.16,0:09.62,99%,9415350
9.41,0.19,0:09.61,99%,9415350
9.44,0.17,0:09.76,98%,9415350
9.40,0.20,0:09.61,99%,9415350
9.42,0.19,0:09.63,99%,9415350
9.40,0.20,0:09.61,99%,9415350
9.39,0.21,0:09.61,99%,9415350
9.43,0.19,0:09.62,99%,9415350
9.46,0.14,0:09.61,99%,9415350
9.43,0.17,0:09.62,99%,9415350
9.44,0.17,0:09.62,99%,9415350
9.43,0.18,0:09.63,99%,9415350
9.40,0.21,0:09.62,99%,9415350
9.42,0.19,0:09.62,99%,9415350
9.43,0.18,0:09.62,99%,9415350
9.41,0.20,0:09.62,99%,9415350
9.43,0.18,0:09.62,99%,9415350
9.42,0.19,0:09.62,99%,9415350
9.38,0.23,0:09.62,99%,9415350
9.45,0.15,0:09.61,99%,9415350
9.45,0.17,0:09.62,99%,9415350
9.45,0.16,0:09.62,99%,9415350
9.46,0.15,0:09.62,99%,9415350
9.44,0.16,0:09.61,99%,9415350
9.44,0.18,0:09.63,99%,9415350
9.46,0.15,0:09.63,99%,9415350
9.42,0.20,0:09.63,99%,9415350
9.43,0.19,0:09.77,98%,9415350
9.45,0.15,0:09.61,99%,9415350
9.45,0.17,0:09.63,99%,9415350
9.47,0.15,0:09.63,99%,9415350
9.41,0.21,0:09.63,99%,9415350
9.51,0.10,0:09.62,99%,9415350
9.47,0.14,0:09.62,99%,9415350
9.45,0.15,0:09.61,99%,9415350
9.50,0.13,0:09.64,99%,9415350
9.43,0.17,0:09.61,99%,9415350
9.41,0.20,0:09.64,99%,9415350
9.39,0.21,0:09.61,99%,9415350
9.42,0.18,0:09.61,99%,9415350
9.44,0.17,0:09.62,99%,9415350
9.43,0.17,0:09.61,99%,9415350
9.38,0.22,0:09.61,99%,9415350
