User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
19.01,0.71,0:23.73,83%,18830458
18.91,0.42,0:19.39,99%,18830458
18.88,0.34,0:19.40,99%,18830458
18.84,0.39,0:19.25,99%,18830458
18.87,0.36,0:19.53,98%,18830458
18.88,0.34,0:19.25,99%,18830458
18.88,0.36,0:19.45,98%,18830458
18.80,0.40,0:19.23,99%,18830458
18.86,0.37,0:19.39,99%,18830458
18.86,0.36,0:19.24,99%,18830458
18.88,0.33,0:19.23,99%,18830458
18.82,0.43,0:19.27,99%,18830458
18.86,0.38,0:19.26,99%,18830458
18.86,0.35,0:19.23,99%,18830458
18.83,0.40,0:19.43,99%,18830458
18.88,0.37,0:19.26,99%,18830458
18.88,0.36,0:19.26,99%,18830458
18.87,0.37,0:19.26,99%,18830458
18.84,0.39,0:19.25,99%,18830458
18.83,0.38,0:19.45,98%,18830458
18.86,0.38,0:19.25,99%,18830458
18.89,0.35,0:19.26,99%,18830458
18.86,0.37,0:19.35,99%,18830458
18.87,0.34,0:19.22,99%,18830458
18.89,0.32,0:19.23,99%,18830458
18.90,0.33,0:19.36,99%,18830458
18.89,0.37,0:19.28,99%,18830458
18.81,0.41,0:19.30,99%,18830458
18.87,0.36,0:19.25,99%,18830458
18.91,0.31,0:19.24,99%,18830458
18.82,0.41,0:19.33,99%,18830458
18.88,0.36,0:19.25,99%,18830458
18.92,0.31,0:19.42,99%,18830458
18.85,0.36,0:19.23,99%,18830458
18.80,0.43,0:19.42,99%,18830458
18.90,0.32,0:19.24,99%,18830458
18.85,0.40,0:19.35,99%,18830458
18.81,0.42,0:19.25,99%,18830458
18.83,0.37,0:19.33,99%,18830458
18.79,0.43,0:19.24,99%,18830458
18.84,0.39,0:19.36,99%,18830458
18.81,0.43,0:19.26,99%,18830458
18.87,0.37,0:19.26,99%,18830458
18.88,0.35,0:19.24,99%,18830458
18.83,0.41,0:19.25,99%,18830458
18.91,0.32,0:19.25,99%,18830458
18.86,0.37,0:19.45,98%,18830458
18.87,0.35,0:19.24,99%,18830458
18.91,0.32,0:19.24,99%,18830458
18.92,0.30,0:19.40,99%,18830458
18.88,0.36,0:19.26,99%,18830458
18.83,0.39,0:19.29,99%,18830458
18.87,0.35,0:19.24,99%,18830458
18.87,0.35,0:19.24,99%,18830458
18.88,0.34,0:19.45,98%,18830458
18.96,0.29,0:19.27,99%,18830458
18.84,0.37,0:19.23,99%,18830458
18.88,0.39,0:19.38,99%,18830458
18.92,0.33,0:19.27,99%,18830458
18.88,0.39,0:19.39,99%,18830458
18.91,0.31,0:19.24,99%,18830458
18.90,0.33,0:19.25,99%,18830458
18.93,0.30,0:19.35,99%,18830458
18.84,0.38,0:19.23,99%,18830458
18.86,0.35,0:19.39,99%,18830458
18.88,0.34,0:19.23,99%,18830458
18.85,0.39,0:19.25,99%,18830458
18.82,0.41,0:19.28,99%,18830458
18.90,0.35,0:19.36,99%,18830458
18.81,0.40,0:19.23,99%,18830458
18.84,0.39,0:19.24,99%,18830458
18.87,0.35,0:19.35,99%,18830458
18.81,0.43,0:19.26,99%,18830458
18.87,0.37,0:19.37,99%,18830458
18.87,0.36,0:19.25,99%,18830458
18.86,0.35,0:19.23,99%,18830458
18.94,0.33,0:19.41,99%,18830458
18.85,0.39,0:19.26,99%,18830458
18.87,0.38,0:19.27,99%,18830458
18.97,0.28,0:19.42,99%,18830458
18.93,0.32,0:19.26,99%,18830458
18.87,0.37,0:19.26,99%,18830458
18.87,0.33,0:19.22,99%,18830458
18.90,0.33,0:19.25,99%,18830458
18.83,0.41,0:19.41,99%,18830458
18.89,0.33,0:19.23,99%,18830458
18.89,0.32,0:19.23,99%,18830458
18.89,0.32,0:19.34,99%,18830458
18.90,0.35,0:19.26,99%,18830458
18.92,0.33,0:19.38,99%,18830458
18.88,0.35,0:19.25,99%,18830458
18.82,0.41,0:19.32,99%,18830458
18.82,0.39,0:19.32,99%,18830458
18.85,0.38,0:19.25,99%,18830458
18.79,0.41,0:19.22,99%,18830458
18.92,0.33,0:19.40,99%,18830458
18.85,0.37,0:19.24,99%,18830458
18.87,0.35,0:19.34,99%,18830458
18.86,0.35,0:19.23,99%,18830458
18.81,0.43,0:19.26,99%,18830458
18.84,0.37,0:19.23,99%,18830458
18.85,0.37,0:19.44,98%,18830458
18.81,0.40,0:19.22,99%,18830458
18.92,0.33,0:19.27,99%,18830458
18.91,0.32,0:19.25,99%,18830458
18.82,0.40,0:19.24,99%,18830458
18.92,0.30,0:19.24,99%,18830458
18.89,0.35,0:19.26,99%,18830458
18.84,0.36,0:19.22,99%,18830458
18.97,0.27,0:19.40,99%,18830458
18.82,0.38,0:19.21,99%,18830458
18.84,0.39,0:19.25,99%,18830458
18.89,0.35,0:19.39,99%,18830458
18.90,0.34,0:19.25,99%,18830458
18.87,0.37,0:19.25,99%,18830458
18.90,0.33,0:19.24,99%,18830458
18.82,0.39,0:19.23,99%,18830458
18.91,0.32,0:19.36,99%,18830458
18.90,0.33,0:19.25,99%,18830458
18.91,0.31,0:19.28,99%,18830458
18.84,0.40,0:19.32,99%,18830458
18.83,0.42,0:19.27,99%,18830458
