User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
0.15,0.00,0:00.24,67%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,98%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.01,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.17,0.00,0:00.17,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,100%,147586
0.16,0.00,0:00.16,98%,147586
0.14,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,98%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.16,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,100%,147586
0.13,0.01,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.20,0.00,0:00.20,99%,147586
0.13,0.01,0:00.15,99%,147586
0.14,0.01,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.19,0.00,0:00.20,100%,147586
0.16,0.00,0:00.16,100%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.16,100%,147586
0.20,0.00,0:00.20,99%,147586
0.14,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.01,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,100%,147586
0.14,0.01,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,98%,147586
0.23,0.00,0:00.23,100%,147586
0.17,0.00,0:00.17,99%,147586
0.21,0.00,0:00.22,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.16,0.00,0:00.16,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.01,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.01,0:00.15,99%,147586
0.14,0.01,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,98%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.01,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,98%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.01,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,98%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.00,0:00.15,99%,147586
0.15,0.00,0:00.15,100%,147586
0.14,0.01,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,100%,147586
0.15,0.00,0:00.15,99%,147586
0.14,0.00,0:00.15,99%,147586
