User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
0.61,0.02,0:00.89,71%,589112
0.75,0.01,0:00.77,100%,589112
0.59,0.01,0:00.60,99%,589112
0.59,0.01,0:00.60,100%,589112
0.59,0.00,0:00.60,99%,589112
0.59,0.01,0:00.60,99%,589112
0.60,0.00,0:00.60,100%,589112
0.58,0.01,0:00.60,99%,589112
0.59,0.01,0:00.60,99%,589112
0.59,0.01,0:00.61,100%,589112
0.60,0.00,0:00.61,100%,589112
0.59,0.01,0:00.60,99%,589112
0.58,0.01,0:00.60,99%,589112
0.59,0.00,0:00.60,99%,589112
0.57,0.02,0:00.60,99%,589112
0.58,0.02,0:00.60,100%,589112
0.60,0.00,0:00.60,100%,589112
0.58,0.02,0:00.60,99%,589112
0.60,0.00,0:00.60,99%,589112
0.60,0.00,0:00.60,100%,589112
0.59,0.00,0:00.60,100%,589112
0.58,0.02,0:00.60,99%,589112
0.59,0.01,0:00.60,100%,589112
0.59,0.00,0:00.60,100%,589112
0.59,0.01,0:00.60,100%,589112
0.58,0.01,0:00.60,99%,589112
0.57,0.02,0:00.60,99%,589112
0.59,0.01,0:00.60,100%,589112
0.59,0.00,0:00.60,100%,589112
0.58,0.02,0:00.60,99%,589112
0.58,0.01,0:00.60,100%,589112
0.58,0.02,0:00.60,99%,589112
0.60,0.00,0:00.60,99%,589112
0.56,0.03,0:00.60,100%,589112
0.59,0.00,0:00.60,100%,589112
0.59,0.01,0:00.60,100%,589112
0.59,0.00,0:00.60,100%,589112
0.59,0.01,0:00.60,99%,589112
0.59,0.01,0:00.60,99%,589112
0.59,0.01,0:00.60,99%,589112
0.59,0.01,0:00.60,99%,589112
0.58,0.02,0:00.60,100%,589112
0.59,0.01,0:00.60,100%,589112
0.58,0.02,0:00.60,99%,589112
0.59,0.00,0:00.60,99%,589112
0.58,0.01,0:00.60,99%,589112
0.59,0.01,0:00.60,99%,589112
0.59,0.00,0:00.60,99%,589112
0.60,0.00,0:00.60,99%,589112
0.59,0.00,0:00.60,100%,589112
0.59,0.00,0:00.60,99%,589112
0.59,0.00,0:00.60,99%,589112
0.60,0.00,0:00.60,100%,589112
0.60,0.00,0:00.60,100%,589112
0.60,0.00,0:00.60,100%,589112
0.59,0.01,0:00.60,100%,589112
0.57,0.02,0:00.60,99%,589112
0.59,0.01,0:00.60,100%,589112
0.59,0.00,0:00.60,100%,589112
0.59,0.01,0:00.60,100%,589112
0.59,0.00,0:00.60,100%,589112
0.58,0.02,0:00.60,100%,589112
0.59,0.01,0:00.60,99%,589112
0.58,0.02,0:00.60,99%,589112
0.58,0.01,0:00.60,100%,589112
0.59,0.01,0:00.60,99%,589112
0.58,0.02,0:00.60,99%,589112
0.58,0.01,0:00.60,99%,589112
0.59,0.01,0:00.61,99%,589112
0.60,0.00,0:00.60,100%,589112
0.58,0.02,0:00.60,100%,589112
0.59,0.00,0:00.60,99%,589112
0.59,0.01,0:00.60,100%,589112
0.59,0.01,0:00.60,100%,589112
0.58,0.02,0:00.60,100%,589112
0.59,0.00,0:00.60,100%,589112
0.59,0.01,0:00.60,99%,589112
0.59,0.00,0:00.60,99%,589112
0.58,0.01,0:00.60,99%,589112
0.59,0.01,0:00.60,99%,589112
0.58,0.01,0:00.60,99%,589112
0.57,0.02,0:00.60,99%,589112
0.60,0.00,0:00.60,99%,589112
0.59,0.00,0:00.60,99%,589112
0.59,0.01,0:00.60,100%,589112
0.57,0.02,0:00.60,99%,589112
0.60,0.00,0:00.60,100%,589112
0.59,0.00,0:00.60,99%,589112
0.59,0.01,0:00.60,99%,589112
0.59,0.01,0:00.60,99%,589112
0.59,0.01,0:00.60,99%,589112
0.58,0.01,0:00.60,99%,589112
0.59,0.00,0:00.60,100%,589112
0.59,0.01,0:00.60,100%,589112
0.58,0.02,0:00.60,100%,589112
0.58,0.01,0:00.60,99%,589112
0.58,0.01,0:00.60,100%,589112
0.58,0.01,0:00.60,99%,589112
0.58,0.01,0:00.60,99%,589112
0.59,0.00,0:00.60,100%,589112
0.59,0.01,0:00.60,100%,589112
0.57,0.03,0:00.60,100%,589112
