User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
20.60,2.27,0:23.83,95%,18830446
19.21,1.49,0:19.58,105%,18830446
19.19,1.48,0:19.73,104%,18830446
19.19,1.41,0:19.67,104%,18830446
19.12,1.47,0:19.54,105%,18830446
19.11,1.53,0:19.58,105%,18830446
19.11,1.46,0:19.64,104%,18830446
19.07,1.48,0:19.58,104%,18830446
19.11,1.54,0:19.69,104%,18830446
19.15,1.41,0:19.57,105%,18830446
19.11,1.43,0:19.55,105%,18830446
19.08,1.47,0:19.72,104%,18830446
19.12,1.47,0:19.72,104%,18830446
19.09,1.48,0:19.58,105%,18830446
19.16,1.45,0:19.59,105%,18830446
19.12,1.45,0:19.57,105%,18830446
19.17,1.45,0:19.69,104%,18830446
19.04,1.50,0:19.52,105%,18830446
19.05,1.50,0:19.52,105%,18830446
19.05,1.52,0:19.72,104%,18830446
19.13,1.48,0:19.72,104%,18830446
19.11,1.45,0:19.55,105%,18830446
19.10,1.46,0:19.63,104%,18830446
19.19,1.45,0:19.69,104%,18830446
19.10,1.52,0:19.73,104%,18830446
19.09,1.49,0:19.57,105%,18830446
19.22,1.44,0:19.70,104%,18830446
19.20,1.43,0:19.80,104%,18830446
19.12,1.47,0:19.58,105%,18830446
19.22,1.36,0:19.57,105%,18830446
19.13,1.45,0:19.56,105%,18830446
19.13,1.45,0:19.54,105%,18830446
19.26,1.34,0:19.57,105%,18830446
19.04,1.50,0:19.59,104%,18830446
19.07,1.52,0:19.60,105%,18830446
19.17,1.41,0:19.63,104%,18830446
19.22,1.41,0:19.68,104%,18830446
19.13,1.48,0:19.58,105%,18830446
19.15,1.45,0:19.59,105%,18830446
19.14,1.43,0:19.55,105%,18830446
19.08,1.50,0:19.54,105%,18830446
19.16,1.41,0:19.52,105%,18830446
19.14,1.39,0:19.52,105%,18830446
19.10,1.45,0:19.72,104%,18830446
19.15,1.43,0:19.71,104%,18830446
19.12,1.45,0:19.53,105%,18830446
19.15,1.43,0:19.65,104%,18830446
19.13,1.47,0:19.63,104%,18830446
19.13,1.46,0:19.57,105%,18830446
19.18,1.43,0:19.55,105%,18830446
19.12,1.46,0:19.63,104%,18830446
19.10,1.48,0:19.53,105%,18830446
19.17,1.42,0:19.64,104%,18830446
19.14,1.48,0:19.66,104%,18830446
19.09,1.45,0:19.62,104%,18830446
19.16,1.41,0:19.63,104%,18830446
19.17,1.42,0:19.69,104%,18830446
19.10,1.49,0:19.56,105%,18830446
19.11,1.51,0:19.68,104%,18830446
19.13,1.47,0:19.56,105%,18830446
19.15,1.47,0:19.55,105%,18830446
19.15,1.38,0:19.51,105%,18830446
19.07,1.46,0:19.50,105%,18830446
19.14,1.48,0:19.67,104%,18830446
19.12,1.44,0:19.67,104%,18830446
19.15,1.44,0:19.64,104%,18830446
19.09,1.49,0:19.55,105%,18830446
19.06,1.51,0:19.66,104%,18830446
19.11,1.47,0:19.62,104%,18830446
19.10,1.51,0:19.69,104%,18830446
19.22,1.43,0:19.68,104%,18830446
19.12,1.47,0:19.65,104%,18830446
19.04,1.49,0:19.63,104%,18830446
19.16,1.45,0:19.74,104%,18830446
19.10,1.44,0:19.62,104%,18830446
19.20,1.37,0:19.62,104%,18830446
19.13,1.45,0:19.63,104%,18830446
19.11,1.44,0:19.55,105%,18830446
