User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
2.60,0.24,0:02.97,95%,2354354
2.38,0.19,0:02.44,105%,2354354
2.40,0.17,0:02.44,105%,2354354
2.40,0.18,0:02.46,104%,2354354
2.37,0.19,0:02.44,105%,2354354
2.39,0.17,0:02.44,105%,2354354
2.40,0.17,0:02.44,105%,2354354
2.38,0.19,0:02.44,105%,2354354
2.41,0.16,0:02.44,105%,2354354
2.42,0.16,0:02.44,105%,2354354
2.40,0.17,0:02.44,105%,2354354
2.39,0.18,0:02.44,105%,2354354
2.37,0.19,0:02.46,104%,2354354
2.37,0.21,0:02.46,105%,2354354
2.41,0.17,0:02.44,105%,2354354
2.38,0.19,0:02.49,103%,2354354
2.42,0.17,0:02.47,105%,2354354
2.39,0.17,0:02.44,105%,2354354
2.39,0.19,0:02.45,105%,2354354
2.39,0.18,0:02.44,105%,2354354
2.39,0.17,0:02.44,105%,2354354
2.40,0.18,0:02.44,105%,2354354
2.38,0.19,0:02.44,105%,2354354
2.38,0.18,0:02.48,103%,2354354
2.40,0.17,0:02.48,103%,2354354
2.38,0.18,0:02.43,105%,2354354
2.39,0.17,0:02.44,105%,2354354
2.36,0.21,0:02.44,105%,2354354
2.39,0.18,0:02.44,105%,2354354
2.41,0.17,0:02.44,105%,2354354
2.39,0.17,0:02.44,105%,2354354
2.37,0.19,0:02.44,105%,2354354
2.41,0.17,0:02.45,105%,2354354
2.38,0.19,0:02.44,105%,2354354
2.36,0.21,0:02.44,105%,2354354
2.38,0.19,0:02.44,105%,2354354
2.41,0.16,0:02.45,105%,2354354
2.36,0.20,0:02.43,105%,2354354
2.38,0.18,0:02.44,105%,2354354
2.39,0.17,0:02.43,105%,2354354
2.41,0.16,0:02.44,105%,2354354
2.38,0.18,0:02.44,105%,2354354
2.41,0.17,0:02.45,105%,2354354
2.40,0.17,0:02.45,105%,2354354
2.40,0.18,0:02.46,104%,2354354
2.35,0.21,0:02.46,104%,2354354
2.42,0.16,0:02.44,105%,2354354
2.39,0.18,0:02.44,105%,2354354
2.38,0.18,0:02.44,105%,2354354
2.40,0.17,0:02.44,105%,2354354
2.39,0.18,0:02.44,105%,2354354
2.38,0.18,0:02.43,105%,2354354
2.38,0.19,0:02.44,105%,2354354
2.38,0.18,0:02.44,105%,2354354
2.39,0.18,0:02.44,105%,2354354
2.39,0.17,0:02.44,105%,2354354
2.37,0.18,0:02.44,105%,2354354
2.40,0.16,0:02.44,105%,2354354
2.39,0.17,0:02.44,105%,2354354
2.39,0.18,0:02.44,105%,2354354
2.38,0.19,0:02.44,105%,2354354
2.35,0.21,0:02.44,105%,2354354
2.37,0.19,0:02.44,105%,2354354
2.41,0.15,0:02.44,105%,2354354
2.39,0.17,0:02.44,105%,2354354
2.36,0.20,0:02.44,105%,2354354
2.40,0.16,0:02.44,105%,2354354
2.36,0.21,0:02.44,105%,2354354
2.39,0.18,0:02.43,105%,2354354
2.38,0.19,0:02.44,105%,2354354
2.38,0.19,0:02.44,105%,2354354
2.37,0.19,0:02.44,105%,2354354
2.40,0.17,0:02.44,105%,2354354
2.38,0.18,0:02.44,105%,2354354
2.38,0.19,0:02.50,103%,2354354
2.39,0.19,0:02.44,105%,2354354
2.40,0.16,0:02.44,105%,2354354
2.42,0.15,0:02.44,105%,2354354
2.41,0.15,0:02.44,105%,2354354
2.39,0.18,0:02.44,105%,2354354
2.38,0.19,0:02.44,105%,2354354
2.38,0.18,0:02.44,105%,2354354
2.38,0.19,0:02.44,105%,2354354
2.38,0.19,0:02.44,105%,2354354
