User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
0.65,0.08,0:00.86,86%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.05,0:00.61,106%,589084
0.60,0.04,0:00.61,105%,589084
0.58,0.05,0:00.61,105%,589084
0.59,0.04,0:00.61,105%,589084
0.58,0.05,0:00.61,105%,589084
0.60,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.04,0:00.63,102%,589084
0.60,0.04,0:00.62,104%,589084
0.59,0.05,0:00.64,100%,589084
0.60,0.04,0:00.64,101%,589084
0.58,0.06,0:00.68,94%,589084
0.59,0.05,0:00.62,105%,589084
0.59,0.04,0:00.67,95%,589084
0.60,0.04,0:00.63,101%,589084
0.59,0.05,0:00.63,102%,589084
0.60,0.04,0:00.65,99%,589084
0.59,0.05,0:00.63,102%,589084
0.61,0.03,0:00.63,101%,589084
0.59,0.04,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.61,0.04,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.61,0.03,0:00.62,103%,589084
0.60,0.03,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.58,0.06,0:00.61,105%,589084
0.60,0.05,0:00.61,106%,589084
0.60,0.04,0:00.61,105%,589084
0.58,0.06,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.58,0.05,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.04,0:00.61,105%,589084
0.57,0.06,0:00.61,105%,589084
0.60,0.03,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.62,0.02,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.62,0.02,0:00.61,105%,589084
0.62,0.02,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.58,0.05,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.58,0.05,0:00.61,105%,589084
0.61,0.02,0:00.61,105%,589084
0.60,0.04,0:00.61,104%,589084
0.58,0.05,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.58,0.06,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.71,0.07,0:00.73,107%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.04,0:00.61,105%,589084
0.59,0.04,0:00.61,104%,589084
0.59,0.05,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.04,0:00.61,105%,589084
0.59,0.04,0:00.60,105%,589084
0.58,0.06,0:00.61,105%,589084
0.60,0.04,0:00.62,103%,589084
0.61,0.03,0:00.61,105%,589084
0.60,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.60,0.03,0:00.61,105%,589084
0.59,0.04,0:00.61,104%,589084
0.61,0.04,0:00.61,105%,589084
0.58,0.06,0:00.61,105%,589084
0.59,0.04,0:00.61,105%,589084
0.59,0.05,0:00.61,104%,589084
0.59,0.05,0:00.61,104%,589084
0.60,0.03,0:00.61,105%,589084
0.62,0.02,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.58,0.05,0:00.61,105%,589084
0.61,0.04,0:00.61,105%,589084
0.57,0.08,0:00.62,105%,589084
0.59,0.05,0:00.64,100%,589084
0.62,0.03,0:00.62,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.62,0.02,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.60,0.03,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.61,0.03,0:00.62,104%,589084
0.59,0.05,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.60,0.03,0:00.61,105%,589084
0.60,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.58,0.05,0:00.61,105%,589084
0.57,0.06,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.60,0.03,0:00.61,105%,589084
0.59,0.04,0:00.61,104%,589084
0.59,0.05,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.62,0.02,0:00.62,104%,589084
0.60,0.03,0:00.61,105%,589084
0.59,0.04,0:00.61,105%,589084
0.60,0.03,0:00.61,105%,589084
0.59,0.05,0:00.65,99%,589084
0.59,0.05,0:00.61,105%,589084
0.58,0.05,0:00.63,100%,589084
0.58,0.05,0:00.62,103%,589084
0.59,0.04,0:00.64,100%,589084
0.61,0.04,0:00.63,102%,589084
0.60,0.03,0:00.67,95%,589084
0.59,0.06,0:00.63,102%,589084
0.60,0.03,0:00.63,100%,589084
0.59,0.05,0:00.62,103%,589084
0.59,0.05,0:00.63,102%,589084
0.60,0.03,0:00.62,102%,589084
0.59,0.05,0:00.64,100%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.04,0:00.61,105%,589084
0.59,0.04,0:00.61,104%,589084
0.58,0.06,0:00.61,105%,589084
0.58,0.06,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.60,0.03,0:00.61,104%,589084
0.61,0.03,0:00.61,105%,589084
0.61,0.03,0:00.61,104%,589084
0.59,0.04,0:00.61,105%,589084
0.60,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.05,0:00.60,105%,589084
0.60,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.03,0:00.61,104%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.05,0:00.61,104%,589084
0.61,0.03,0:00.61,104%,589084
0.61,0.02,0:00.61,105%,589084
0.60,0.05,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.61,0.03,0:00.61,105%,589084
0.59,0.04,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.03,0:00.61,104%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.56,0.08,0:00.61,105%,589084
0.58,0.05,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.60,0.03,0:00.61,104%,589084
0.60,0.03,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.58,0.06,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.03,0:00.61,105%,589084
0.59,0.05,0:00.61,106%,589084
0.60,0.04,0:00.61,105%,589084
0.60,0.03,0:00.61,104%,589084
0.59,0.05,0:00.61,105%,589084
0.59,0.05,0:00.60,105%,589084
0.59,0.05,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.60,0.04,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
0.59,0.05,0:00.61,105%,589084
