User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
1.18,0.17,0:01.57,86%,1177372
1.20,0.10,0:01.23,106%,1177372
1.19,0.10,0:01.22,106%,1177372
1.21,0.09,0:01.23,106%,1177372
1.21,0.08,0:01.22,105%,1177372
1.24,0.12,0:01.30,104%,1177372
1.20,0.08,0:01.23,105%,1177372
1.21,0.08,0:01.22,105%,1177372
1.17,0.11,0:01.22,105%,1177372
1.20,0.08,0:01.22,105%,1177372
1.17,0.10,0:01.22,105%,1177372
1.20,0.08,0:01.21,105%,1177372
1.17,0.11,0:01.22,105%,1177372
1.17,0.11,0:01.22,105%,1177372
1.19,0.09,0:01.22,105%,1177372
1.20,0.09,0:01.22,105%,1177372
1.22,0.06,0:01.22,105%,1177372
1.21,0.08,0:01.22,105%,1177372
1.21,0.07,0:01.22,105%,1177372
1.18,0.10,0:01.22,105%,1177372
1.20,0.08,0:01.22,105%,1177372
1.19,0.09,0:01.22,105%,1177372
1.20,0.08,0:01.22,105%,1177372
1.18,0.10,0:01.22,105%,1177372
1.19,0.09,0:01.22,105%,1177372
1.21,0.07,0:01.22,105%,1177372
1.18,0.11,0:01.22,105%,1177372
1.22,0.06,0:01.22,105%,1177372
1.21,0.06,0:01.22,104%,1177372
1.18,0.10,0:01.22,105%,1177372
1.21,0.08,0:01.22,105%,1177372
1.20,0.08,0:01.22,105%,1177372
1.18,0.10,0:01.22,105%,1177372
1.22,0.06,0:01.22,105%,1177372
1.21,0.08,0:01.22,105%,1177372
1.19,0.10,0:01.22,105%,1177372
1.17,0.11,0:01.22,105%,1177372
1.21,0.09,0:01.24,105%,1177372
1.18,0.10,0:01.22,105%,1177372
1.19,0.09,0:01.22,105%,1177372
1.19,0.09,0:01.22,105%,1177372
1.17,0.12,0:01.23,105%,1177372
1.20,0.08,0:01.22,105%,1177372
1.20,0.09,0:01.23,105%,1177372
1.19,0.09,0:01.22,105%,1177372
1.19,0.09,0:01.22,105%,1177372
1.20,0.08,0:01.22,105%,1177372
1.19,0.09,0:01.22,105%,1177372
1.20,0.08,0:01.22,105%,1177372
1.18,0.11,0:01.22,105%,1177372
1.20,0.08,0:01.22,105%,1177372
1.17,0.11,0:01.22,105%,1177372
1.17,0.11,0:01.22,105%,1177372
