User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
9.93,0.19,0:07.13,141%,478615
10.44,0.16,0:04.49,236%,478615
10.42,0.12,0:04.47,236%,478615
10.22,0.17,0:04.41,235%,478615
10.15,0.12,0:04.34,236%,478615
10.31,0.17,0:04.42,237%,478615
10.33,0.14,0:04.41,237%,478615
10.39,0.17,0:04.48,235%,478615
10.55,0.14,0:04.51,237%,478615
10.68,0.11,0:04.56,236%,478615
10.27,0.15,0:04.35,239%,478615
10.32,0.11,0:04.34,239%,478615
10.37,0.17,0:04.44,237%,478615
10.20,0.13,0:04.35,237%,478615
10.34,0.11,0:04.47,233%,478615
10.26,0.14,0:04.42,235%,478615
10.25,0.15,0:04.36,238%,478615
10.23,0.17,0:04.37,237%,478615
10.19,0.14,0:04.36,236%,478615
10.52,0.14,0:04.48,237%,478615
10.53,0.13,0:04.54,234%,478615
10.27,0.16,0:04.41,236%,478615
10.53,0.14,0:04.50,237%,478615
10.41,0.12,0:04.44,237%,478615
10.51,0.15,0:04.54,234%,478615
10.36,0.15,0:04.43,237%,478615
10.26,0.14,0:04.38,237%,478615
10.39,0.14,0:04.46,236%,478615
10.12,0.14,0:04.32,237%,478615
10.41,0.15,0:04.49,235%,478615
10.28,0.13,0:04.34,239%,478615
10.51,0.12,0:04.48,237%,478615
10.25,0.18,0:04.40,237%,478615
10.14,0.12,0:04.28,239%,478615
10.26,0.12,0:04.35,238%,478615
10.37,0.14,0:04.45,236%,478615
10.22,0.16,0:04.31,240%,478615
10.34,0.14,0:04.46,234%,478615
10.15,0.14,0:04.34,237%,478615
10.24,0.16,0:04.40,236%,478615
10.46,0.12,0:04.44,238%,478615
10.29,0.10,0:04.35,238%,478615
10.28,0.15,0:04.32,241%,478615
10.51,0.18,0:04.52,236%,478615
10.42,0.13,0:04.46,236%,478615
10.32,0.13,0:04.36,239%,478615
10.25,0.13,0:04.36,237%,478615
10.30,0.10,0:04.38,237%,478615
10.25,0.12,0:04.41,235%,478615
10.33,0.14,0:04.39,238%,478615
10.27,0.15,0:04.42,235%,478615
10.27,0.17,0:04.40,237%,478615
10.40,0.17,0:04.47,236%,478615
10.40,0.16,0:04.46,236%,478615
10.18,0.17,0:04.31,240%,478615
10.35,0.12,0:04.41,237%,478615
10.33,0.13,0:04.44,235%,478615
10.42,0.13,0:04.48,235%,478615
10.48,0.16,0:04.50,236%,478615
10.27,0.13,0:04.36,238%,478615
10.46,0.17,0:04.52,235%,478615
