User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
2.53,0.08,0:01.89,137%,120833
2.64,0.06,0:01.16,233%,120833
2.71,0.04,0:01.18,232%,120833
2.68,0.06,0:01.17,233%,120833
2.68,0.03,0:01.17,230%,120833
2.58,0.05,0:01.12,235%,120833
2.67,0.05,0:01.19,229%,120833
2.49,0.05,0:01.10,230%,120833
2.47,0.05,0:01.07,235%,120833
2.61,0.05,0:01.14,233%,120833
2.56,0.04,0:01.10,235%,120833
2.65,0.02,0:01.16,230%,120833
2.62,0.05,0:01.14,234%,120833
2.53,0.05,0:01.10,234%,120833
2.63,0.06,0:01.19,226%,120833
2.51,0.05,0:01.09,234%,120833
2.53,0.06,0:01.10,234%,120833
2.56,0.03,0:01.09,237%,120833
2.59,0.04,0:01.14,229%,120833
2.56,0.04,0:01.13,230%,120833
2.59,0.06,0:01.14,232%,120833
2.57,0.07,0:01.14,232%,120833
2.65,0.03,0:01.14,235%,120833
2.48,0.03,0:01.07,234%,120833
2.60,0.04,0:01.12,235%,120833
2.64,0.06,0:01.16,232%,120833
2.65,0.04,0:01.15,234%,120833
2.60,0.04,0:01.13,234%,120833
2.72,0.07,0:01.20,231%,120833
2.51,0.06,0:01.09,237%,120833
2.51,0.04,0:01.07,239%,120833
2.53,0.04,0:01.09,235%,120833
2.55,0.04,0:01.11,233%,120833
2.70,0.04,0:01.18,232%,120833
2.64,0.04,0:01.15,233%,120833
2.62,0.05,0:01.14,232%,120833
2.65,0.05,0:01.17,230%,120833
2.51,0.08,0:01.11,232%,120833
2.68,0.02,0:01.13,239%,120833
2.62,0.04,0:01.12,237%,120833
2.55,0.04,0:01.09,236%,120833
2.62,0.03,0:01.11,239%,120833
2.51,0.06,0:01.10,233%,120833
2.52,0.03,0:01.05,242%,120833
2.62,0.05,0:01.13,235%,120833
2.58,0.04,0:01.12,233%,120833
2.52,0.04,0:01.08,236%,120833
2.64,0.04,0:01.15,232%,120833
2.65,0.05,0:01.18,229%,120833
2.62,0.02,0:01.14,231%,120833
2.59,0.04,0:01.11,236%,120833
2.54,0.05,0:01.10,234%,120833
2.44,0.05,0:01.04,240%,120833
2.62,0.05,0:01.14,233%,120833
2.52,0.08,0:01.10,235%,120833
2.54,0.05,0:01.10,234%,120833
2.51,0.04,0:01.08,236%,120833
2.61,0.07,0:01.15,233%,120833
2.48,0.06,0:01.07,236%,120833
2.53,0.06,0:01.10,236%,120833
2.56,0.04,0:01.11,233%,120833
2.57,0.06,0:01.11,237%,120833
2.51,0.05,0:01.08,236%,120833
2.54,0.06,0:01.07,242%,120833
2.52,0.04,0:01.09,233%,120833
2.59,0.04,0:01.11,235%,120833
2.63,0.04,0:01.13,234%,120833
2.53,0.06,0:01.10,235%,120833
2.56,0.04,0:01.08,241%,120833
2.56,0.06,0:01.12,233%,120833
2.51,0.06,0:01.10,234%,120833
2.63,0.04,0:01.13,235%,120833
2.68,0.04,0:01.17,233%,120833
2.72,0.05,0:01.19,233%,120833
2.50,0.07,0:01.10,232%,120833
2.55,0.04,0:01.08,240%,120833
2.60,0.05,0:01.15,230%,120833
2.57,0.08,0:01.12,236%,120833
2.53,0.04,0:01.09,235%,120833
2.65,0.04,0:01.13,237%,120833
2.49,0.06,0:01.08,236%,120833
2.50,0.07,0:01.09,235%,120833
2.55,0.04,0:01.10,234%,120833
2.59,0.04,0:01.14,230%,120833
2.48,0.03,0:01.07,234%,120833
2.60,0.04,0:01.12,235%,120833
2.59,0.06,0:01.14,232%,120833
2.52,0.05,0:01.10,232%,120833
2.63,0.05,0:01.16,230%,120833
2.64,0.04,0:01.14,235%,120833
2.52,0.04,0:01.09,234%,120833
2.56,0.05,0:01.09,238%,120833
2.50,0.07,0:01.08,238%,120833
2.65,0.04,0:01.16,231%,120833
2.57,0.07,0:01.12,235%,120833
2.49,0.07,0:01.08,236%,120833
2.52,0.04,0:01.10,233%,120833
2.53,0.05,0:01.11,231%,120833
2.57,0.03,0:01.12,233%,120833
2.57,0.05,0:01.12,232%,120833
2.51,0.06,0:01.10,232%,120833
2.65,0.05,0:01.15,234%,120833
2.64,0.06,0:01.16,231%,120833
2.61,0.06,0:01.15,231%,120833
2.59,0.03,0:01.14,230%,120833
2.54,0.06,0:01.10,235%,120833
2.54,0.04,0:01.09,237%,120833
2.48,0.04,0:01.06,236%,120833
2.49,0.05,0:01.07,236%,120833
2.55,0.03,0:01.09,236%,120833
2.55,0.06,0:01.12,234%,120833
2.61,0.02,0:01.13,232%,120833
2.56,0.04,0:01.12,231%,120833
2.61,0.05,0:01.14,232%,120833
2.67,0.03,0:01.17,230%,120833
2.59,0.04,0:01.12,234%,120833
2.50,0.05,0:01.03,246%,120833
2.55,0.05,0:01.10,236%,120833
2.52,0.07,0:01.10,235%,120833
2.56,0.04,0:01.10,236%,120833
2.52,0.03,0:01.07,237%,120833
2.60,0.06,0:01.14,233%,120833
2.76,0.05,0:01.21,232%,120833
2.51,0.03,0:01.10,231%,120833
2.59,0.05,0:01.14,231%,120833
2.62,0.06,0:01.16,231%,120833
2.50,0.05,0:01.06,240%,120833
2.51,0.04,0:01.07,237%,120833
2.51,0.05,0:01.09,234%,120833
2.54,0.07,0:01.12,232%,120833
2.61,0.05,0:01.15,231%,120833
2.51,0.05,0:01.08,236%,120833
2.61,0.05,0:01.17,228%,120833
2.51,0.06,0:01.09,235%,120833
2.62,0.03,0:01.13,233%,120833
2.57,0.04,0:01.11,235%,120833
2.52,0.04,0:01.07,238%,120833
2.61,0.03,0:01.13,232%,120833
2.66,0.06,0:01.17,232%,120833
2.48,0.04,0:01.09,231%,120833
2.56,0.04,0:01.10,235%,120833
2.58,0.04,0:01.11,237%,120833
2.61,0.06,0:01.13,234%,120833
2.59,0.06,0:01.14,231%,120833
2.67,0.04,0:01.20,225%,120833
2.66,0.03,0:01.17,229%,120833
2.56,0.04,0:01.09,237%,120833
2.65,0.06,0:01.18,229%,120833
2.65,0.04,0:01.14,234%,120833
2.62,0.03,0:01.13,234%,120833
2.56,0.06,0:01.12,233%,120833
2.54,0.07,0:01.11,234%,120833
2.45,0.07,0:01.07,234%,120833
2.65,0.02,0:01.14,235%,120833
2.65,0.07,0:01.17,232%,120833
2.60,0.04,0:01.12,235%,120833
2.52,0.04,0:01.09,236%,120833
2.55,0.04,0:01.10,235%,120833
2.48,0.06,0:01.09,233%,120833
2.58,0.04,0:01.11,235%,120833
2.56,0.04,0:01.09,238%,120833
2.58,0.05,0:01.11,236%,120833
2.59,0.05,0:01.11,237%,120833
2.57,0.08,0:01.13,234%,120833
2.56,0.04,0:01.09,237%,120833
2.50,0.04,0:01.09,233%,120833
2.59,0.04,0:01.14,231%,120833
2.52,0.09,0:01.11,234%,120833
2.73,0.03,0:01.19,232%,120833
2.61,0.06,0:01.13,236%,120833
2.55,0.07,0:01.10,237%,120833
2.57,0.04,0:01.11,234%,120833
2.64,0.04,0:01.15,233%,120833
2.59,0.04,0:01.11,237%,120833
2.67,0.06,0:01.17,232%,120833
2.58,0.05,0:01.12,234%,120833
2.48,0.06,0:01.08,236%,120833
2.65,0.02,0:01.14,233%,120833
2.59,0.06,0:01.14,233%,120833
2.55,0.05,0:01.11,233%,120833
2.71,0.05,0:01.19,231%,120833
2.47,0.05,0:01.06,236%,120833
2.64,0.04,0:01.14,234%,120833
2.59,0.04,0:01.14,230%,120833
2.61,0.04,0:01.14,232%,120833
2.56,0.06,0:01.14,229%,120833
2.61,0.06,0:01.15,231%,120833
2.63,0.02,0:01.13,234%,120833
2.65,0.04,0:01.17,230%,120833
2.56,0.04,0:01.09,238%,120833
2.53,0.02,0:01.07,238%,120833
2.61,0.05,0:01.15,230%,120833
2.49,0.06,0:01.07,238%,120833
2.60,0.05,0:01.14,232%,120833
2.58,0.05,0:01.12,235%,120833
2.52,0.04,0:01.11,231%,120833
