User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
5.00,0.11,0:03.69,138%,240746
5.14,0.08,0:02.23,234%,240746
5.06,0.07,0:02.17,236%,240746
5.01,0.09,0:02.13,239%,240746
5.12,0.10,0:02.21,236%,240746
5.04,0.07,0:02.15,237%,240746
5.11,0.07,0:02.17,238%,240746
5.18,0.07,0:02.21,238%,240746
5.05,0.08,0:02.15,238%,240746
5.07,0.09,0:02.18,236%,240746
4.98,0.12,0:02.18,233%,240746
5.22,0.06,0:02.24,236%,240746
5.14,0.12,0:02.21,237%,240746
5.07,0.09,0:02.21,233%,240746
5.23,0.08,0:02.27,234%,240746
5.31,0.08,0:02.30,234%,240746
5.12,0.07,0:02.22,234%,240746
5.07,0.08,0:02.15,239%,240746
5.19,0.09,0:02.23,236%,240746
5.05,0.10,0:02.13,241%,240746
5.21,0.08,0:02.25,234%,240746
5.17,0.08,0:02.22,235%,240746
5.19,0.09,0:02.23,236%,240746
5.11,0.06,0:02.16,238%,240746
5.11,0.06,0:02.18,237%,240746
5.20,0.09,0:02.24,235%,240746
5.12,0.06,0:02.20,234%,240746
5.13,0.10,0:02.20,237%,240746
5.23,0.09,0:02.26,235%,240746
5.17,0.07,0:02.23,234%,240746
5.13,0.07,0:02.20,236%,240746
5.19,0.08,0:02.25,234%,240746
5.17,0.04,0:02.22,234%,240746
5.21,0.08,0:02.28,232%,240746
5.12,0.06,0:02.17,238%,240746
5.06,0.08,0:02.15,239%,240746
5.13,0.05,0:02.19,236%,240746
5.29,0.07,0:02.27,235%,240746
5.10,0.06,0:02.19,235%,240746
5.07,0.08,0:02.21,233%,240746
5.12,0.10,0:02.18,239%,240746
5.19,0.08,0:02.21,237%,240746
5.27,0.06,0:02.26,235%,240746
5.33,0.06,0:02.26,238%,240746
5.03,0.08,0:02.14,238%,240746
5.13,0.05,0:02.17,238%,240746
5.13,0.06,0:02.21,234%,240746
5.11,0.08,0:02.18,237%,240746
5.23,0.08,0:02.24,236%,240746
5.20,0.08,0:02.21,238%,240746
5.17,0.08,0:02.21,237%,240746
5.17,0.07,0:02.24,233%,240746
5.07,0.06,0:02.16,237%,240746
5.00,0.11,0:02.15,237%,240746
5.20,0.08,0:02.22,237%,240746
5.22,0.08,0:02.23,237%,240746
5.14,0.05,0:02.18,237%,240746
5.21,0.06,0:02.25,234%,240746
5.21,0.07,0:02.23,236%,240746
5.16,0.07,0:02.20,237%,240746
5.19,0.06,0:02.20,238%,240746
5.21,0.10,0:02.24,236%,240746
5.38,0.07,0:02.33,234%,240746
5.12,0.09,0:02.20,237%,240746
4.98,0.08,0:02.13,237%,240746
5.25,0.10,0:02.27,235%,240746
5.11,0.09,0:02.19,237%,240746
5.04,0.06,0:02.18,233%,240746
5.14,0.10,0:02.22,235%,240746
5.19,0.09,0:02.24,235%,240746
5.11,0.08,0:02.18,238%,240746
5.18,0.10,0:02.25,234%,240746
5.03,0.07,0:02.11,241%,240746
5.19,0.08,0:02.24,235%,240746
5.05,0.09,0:02.13,241%,240746
5.06,0.09,0:02.15,238%,240746
5.10,0.10,0:02.24,232%,240746
5.18,0.07,0:02.19,239%,240746
5.27,0.08,0:02.26,236%,240746
5.03,0.08,0:02.16,237%,240746
5.16,0.07,0:02.22,235%,240746
5.11,0.09,0:02.21,235%,240746
5.33,0.07,0:02.29,235%,240746
5.11,0.12,0:02.22,235%,240746
5.23,0.06,0:02.25,234%,240746
5.01,0.09,0:02.13,239%,240746
5.25,0.10,0:02.26,236%,240746
5.14,0.07,0:02.17,240%,240746
5.12,0.07,0:02.20,235%,240746
5.06,0.09,0:02.17,236%,240746
5.20,0.11,0:02.28,233%,240746
5.02,0.09,0:02.16,236%,240746
5.22,0.09,0:02.26,234%,240746
5.26,0.07,0:02.25,236%,240746
5.32,0.06,0:02.30,233%,240746
5.18,0.09,0:02.27,232%,240746
5.16,0.08,0:02.22,235%,240746
5.20,0.06,0:02.23,235%,240746
5.13,0.09,0:02.24,233%,240746
5.02,0.11,0:02.15,238%,240746
5.11,0.10,0:02.19,237%,240746
5.24,0.09,0:02.28,233%,240746
5.00,0.09,0:02.11,241%,240746
5.15,0.06,0:02.16,241%,240746
5.17,0.04,0:02.21,235%,240746
5.41,0.07,0:02.34,233%,240746
5.01,0.07,0:02.11,240%,240746
5.19,0.07,0:02.20,238%,240746
5.06,0.08,0:02.17,237%,240746
5.14,0.09,0:02.19,238%,240746
5.13,0.06,0:02.20,236%,240746
5.29,0.06,0:02.27,235%,240746
5.23,0.12,0:02.27,235%,240746
5.16,0.09,0:02.22,236%,240746
5.12,0.08,0:02.18,238%,240746
5.02,0.08,0:02.14,237%,240746
5.14,0.07,0:02.24,232%,240746
5.33,0.07,0:02.31,234%,240746
5.07,0.12,0:02.20,235%,240746
5.36,0.06,0:02.27,238%,240746
5.16,0.06,0:02.19,237%,240746
5.12,0.07,0:02.20,235%,240746
5.12,0.10,0:02.20,237%,240746
5.02,0.12,0:02.17,237%,240746
5.33,0.04,0:02.28,235%,240746
5.11,0.04,0:02.17,237%,240746
5.20,0.06,0:02.22,236%,240746
5.27,0.09,0:02.26,236%,240746
5.21,0.08,0:02.24,235%,240746
5.18,0.08,0:02.22,236%,240746
5.19,0.06,0:02.24,234%,240746
5.11,0.06,0:02.20,235%,240746
4.99,0.08,0:02.12,239%,240746
5.13,0.09,0:02.23,233%,240746
5.07,0.09,0:02.17,237%,240746
5.08,0.12,0:02.20,236%,240746
5.20,0.08,0:02.22,237%,240746
5.30,0.06,0:02.30,233%,240746
5.19,0.07,0:02.22,236%,240746
5.27,0.08,0:02.26,236%,240746
5.26,0.09,0:02.28,235%,240746
