User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
39.83,0.74,0:29.70,136%,1909048
39.79,0.50,0:17.13,235%,1909048
40.26,0.53,0:17.28,235%,1909048
39.97,0.59,0:17.26,235%,1909048
39.44,0.58,0:16.84,237%,1909048
39.99,0.55,0:17.17,236%,1909048
40.01,0.47,0:17.27,234%,1909048
39.96,0.42,0:16.99,237%,1909048
39.85,0.54,0:17.09,236%,1909048
39.61,0.53,0:16.90,237%,1909048
39.57,0.48,0:16.87,237%,1909048
40.01,0.53,0:17.19,235%,1909048
39.92,0.61,0:17.22,235%,1909048
39.48,0.58,0:16.97,236%,1909048
39.94,0.49,0:17.08,236%,1909048
40.13,0.50,0:17.18,236%,1909048
39.88,0.43,0:17.06,236%,1909048
39.75,0.49,0:17.06,235%,1909048
40.03,0.50,0:17.07,237%,1909048
39.85,0.52,0:17.09,236%,1909048
39.46,0.57,0:16.98,235%,1909048
39.84,0.53,0:17.06,236%,1909048
40.21,0.48,0:17.34,234%,1909048
40.24,0.53,0:17.17,237%,1909048
39.61,0.58,0:17.04,235%,1909048
39.60,0.55,0:17.07,235%,1909048
40.23,0.50,0:17.26,236%,1909048
39.60,0.51,0:16.97,236%,1909048
40.16,0.56,0:17.36,234%,1909048
39.48,0.55,0:16.94,236%,1909048
40.01,0.47,0:17.18,235%,1909048
40.13,0.57,0:17.19,236%,1909048
40.10,0.46,0:17.11,237%,1909048
39.91,0.66,0:17.15,236%,1909048
40.26,0.62,0:17.52,233%,1909048
39.74,0.58,0:17.02,236%,1909048
40.20,0.50,0:17.23,236%,1909048
39.73,0.47,0:16.91,237%,1909048
39.69,0.63,0:17.16,234%,1909048
39.85,0.55,0:16.95,238%,1909048
39.81,0.50,0:17.03,236%,1909048
39.45,0.58,0:16.84,237%,1909048
39.73,0.52,0:17.07,235%,1909048
39.70,0.54,0:17.15,234%,1909048
39.27,0.51,0:16.77,237%,1909048
39.89,0.53,0:17.13,235%,1909048
40.00,0.47,0:17.10,236%,1909048
40.13,0.53,0:17.21,236%,1909048
40.02,0.57,0:17.34,234%,1909048
39.44,0.60,0:16.98,235%,1909048
40.49,0.44,0:17.36,235%,1909048
40.09,0.51,0:17.07,237%,1909048
40.19,0.55,0:17.33,235%,1909048
39.87,0.52,0:17.13,235%,1909048
40.07,0.54,0:17.28,234%,1909048
39.90,0.57,0:17.20,235%,1909048
40.54,0.53,0:17.51,234%,1909048
39.58,0.45,0:16.80,238%,1909048
39.88,0.55,0:17.22,234%,1909048
40.41,0.48,0:17.34,235%,1909048
39.70,0.56,0:17.02,236%,1909048
40.20,0.46,0:17.27,235%,1909048
40.08,0.48,0:17.26,234%,1909048
39.41,0.56,0:16.94,235%,1909048
39.47,0.52,0:16.92,236%,1909048
39.75,0.55,0:17.02,236%,1909048
40.33,0.50,0:17.27,236%,1909048
40.05,0.45,0:17.28,234%,1909048
39.57,0.61,0:17.00,236%,1909048
40.23,0.48,0:17.14,237%,1909048
40.00,0.53,0:17.17,236%,1909048
39.82,0.58,0:17.02,237%,1909048
39.67,0.58,0:17.08,235%,1909048
39.56,0.55,0:16.88,237%,1909048
40.15,0.49,0:17.27,235%,1909048
40.02,0.52,0:17.24,235%,1909048
39.78,0.48,0:16.94,237%,1909048
40.07,0.53,0:17.15,236%,1909048
40.43,0.54,0:17.41,235%,1909048
40.14,0.53,0:17.24,235%,1909048
40.30,0.52,0:17.24,236%,1909048
39.96,0.48,0:17.15,235%,1909048
40.84,0.58,0:17.79,232%,1909048
40.05,0.52,0:17.24,235%,1909048
39.86,0.47,0:17.11,235%,1909048
39.49,0.50,0:16.89,236%,1909048
39.42,0.53,0:16.71,239%,1909048
40.47,0.53,0:17.34,236%,1909048
39.86,0.44,0:16.98,237%,1909048
39.70,0.55,0:16.92,237%,1909048
40.13,0.55,0:17.42,233%,1909048
40.60,0.49,0:17.71,232%,1909048
39.87,0.46,0:16.96,237%,1909048
40.37,0.51,0:17.36,235%,1909048
39.62,0.52,0:17.00,236%,1909048
39.97,0.60,0:17.20,235%,1909048
39.80,0.51,0:16.99,237%,1909048
39.89,0.56,0:17.17,235%,1909048
39.95,0.54,0:17.05,237%,1909048
40.05,0.52,0:17.33,234%,1909048
40.24,0.62,0:17.36,235%,1909048
39.68,0.53,0:17.05,235%,1909048
39.84,0.47,0:16.97,237%,1909048
39.60,0.48,0:16.95,236%,1909048
40.15,0.44,0:17.19,236%,1909048
39.83,0.52,0:16.95,237%,1909048
40.12,0.55,0:17.23,235%,1909048
39.69,0.50,0:17.00,236%,1909048
39.86,0.49,0:17.00,237%,1909048
39.68,0.52,0:17.02,236%,1909048
40.36,0.47,0:17.32,235%,1909048
39.74,0.56,0:17.06,236%,1909048
39.96,0.49,0:17.06,237%,1909048
39.78,0.58,0:17.20,234%,1909048
39.77,0.47,0:17.02,236%,1909048
39.73,0.49,0:17.05,235%,1909048
39.61,0.50,0:16.94,236%,1909048
40.20,0.62,0:17.45,233%,1909048
40.00,0.53,0:17.14,236%,1909048
40.07,0.54,0:17.15,236%,1909048
39.72,0.55,0:17.00,236%,1909048
39.85,0.49,0:17.06,236%,1909048
39.84,0.52,0:16.99,237%,1909048
39.87,0.51,0:17.04,236%,1909048
39.95,0.49,0:17.09,236%,1909048
39.62,0.52,0:16.96,236%,1909048
40.02,0.54,0:17.31,234%,1909048
39.45,0.55,0:16.89,236%,1909048
40.00,0.50,0:17.29,234%,1909048
40.06,0.52,0:17.29,234%,1909048
40.10,0.59,0:17.24,236%,1909048
39.67,0.63,0:17.21,234%,1909048
40.06,0.50,0:17.17,236%,1909048
39.99,0.58,0:17.14,236%,1909048
40.21,0.52,0:17.32,235%,1909048
