User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
0.31,0.02,0:00.35,97%,16634
0.33,0.02,0:00.17,208%,16634
0.30,0.03,0:00.15,208%,16634
0.31,0.02,0:00.16,206%,16634
0.32,0.01,0:00.16,204%,16634
0.33,0.02,0:00.17,209%,16634
0.35,0.01,0:00.17,210%,16634
0.34,0.02,0:00.17,208%,16634
0.30,0.02,0:00.16,199%,16634
0.34,0.02,0:00.18,204%,16634
0.35,0.01,0:00.17,207%,16634
0.35,0.05,0:00.19,208%,16634
0.35,0.00,0:00.17,206%,16634
0.33,0.00,0:00.16,210%,16634
0.36,0.01,0:00.18,207%,16634
0.31,0.02,0:00.15,217%,16634
0.35,0.00,0:00.17,208%,16634
0.35,0.01,0:00.17,210%,16634
0.36,0.00,0:00.18,206%,16634
0.35,0.01,0:00.18,205%,16634
0.30,0.02,0:00.15,213%,16634
0.34,0.03,0:00.17,213%,16634
0.35,0.01,0:00.17,210%,16634
0.30,0.02,0:00.15,211%,16634
0.38,0.01,0:00.19,210%,16634
0.30,0.03,0:00.16,206%,16634
0.30,0.02,0:00.15,208%,16634
0.31,0.02,0:00.16,205%,16634
0.30,0.02,0:00.15,210%,16634
0.31,0.02,0:00.15,213%,16634
0.34,0.01,0:00.17,204%,16634
0.31,0.02,0:00.16,208%,16634
0.37,0.02,0:00.18,209%,16634
0.33,0.01,0:00.16,211%,16634
0.35,0.02,0:00.17,210%,16634
0.35,0.03,0:00.18,207%,16634
0.31,0.02,0:00.15,213%,16634
0.39,0.01,0:00.19,211%,16634
0.34,0.02,0:00.17,213%,16634
0.34,0.01,0:00.17,206%,16634
0.33,0.03,0:00.17,215%,16634
0.32,0.03,0:00.17,203%,16634
0.31,0.02,0:00.16,210%,16634
0.35,0.01,0:00.17,213%,16634
0.34,0.01,0:00.17,214%,16634
0.34,0.02,0:00.17,216%,16634
0.31,0.02,0:00.15,209%,16634
0.31,0.01,0:00.15,210%,16634
0.30,0.02,0:00.15,212%,16634
0.36,0.02,0:00.19,206%,16634
0.33,0.04,0:00.17,215%,16634
0.30,0.03,0:00.15,211%,16634
0.31,0.01,0:00.15,218%,16634
0.33,0.02,0:00.17,209%,16634
0.38,0.01,0:00.19,212%,16634
0.32,0.01,0:00.15,213%,16634
0.37,0.02,0:00.19,208%,16634
0.34,0.01,0:00.18,201%,16634
0.37,0.02,0:00.19,209%,16634
0.32,0.04,0:00.17,206%,16634
0.34,0.03,0:00.17,216%,16634
0.31,0.02,0:00.16,208%,16634
0.40,0.00,0:00.18,220%,16634
0.34,0.01,0:00.17,205%,16634
0.30,0.02,0:00.15,210%,16634
0.35,0.00,0:00.17,207%,16634
0.39,0.01,0:00.18,214%,16634
0.31,0.01,0:00.15,212%,16634
0.31,0.01,0:00.15,212%,16634
0.31,0.02,0:00.16,205%,16634
0.38,0.01,0:00.19,208%,16634
0.33,0.03,0:00.17,209%,16634
0.34,0.03,0:00.17,216%,16634
0.34,0.01,0:00.17,208%,16634
0.30,0.02,0:00.15,210%,16634
0.30,0.03,0:00.16,201%,16634
0.31,0.02,0:00.15,215%,16634
0.31,0.02,0:00.16,207%,16634
0.36,0.02,0:00.18,211%,16634
0.37,0.02,0:00.18,211%,16634
0.37,0.01,0:00.18,213%,16634
0.33,0.00,0:00.16,212%,16634
0.34,0.02,0:00.18,205%,16634
0.34,0.02,0:00.17,209%,16634
0.37,0.03,0:00.19,212%,16634
0.33,0.03,0:00.17,209%,16634
0.33,0.02,0:00.17,203%,16634
0.34,0.03,0:00.17,214%,16634
0.36,0.01,0:00.18,208%,16634
0.30,0.02,0:00.15,215%,16634
0.32,0.04,0:00.17,213%,16634
0.38,0.02,0:00.18,214%,16634
0.34,0.02,0:00.17,203%,16634
0.34,0.03,0:00.18,205%,16634
0.34,0.02,0:00.18,201%,16634
