User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
20.15,0.44,0:17.54,117%,955244
20.00,0.31,0:08.61,235%,955244
20.05,0.26,0:08.57,236%,955244
20.25,0.25,0:08.68,236%,955244
20.40,0.27,0:08.81,234%,955244
20.16,0.32,0:08.70,235%,955244
20.28,0.21,0:08.65,236%,955244
19.99,0.29,0:08.54,237%,955244
20.33,0.26,0:08.75,235%,955244
19.81,0.32,0:08.46,237%,955244
19.84,0.27,0:08.50,236%,955244
19.75,0.25,0:08.40,238%,955244
20.26,0.27,0:08.66,237%,955244
20.09,0.26,0:08.63,235%,955244
20.41,0.23,0:08.80,234%,955244
19.90,0.25,0:08.49,237%,955244
19.89,0.30,0:08.53,236%,955244
20.01,0.22,0:08.52,237%,955244
20.16,0.20,0:08.59,236%,955244
20.33,0.30,0:08.79,234%,955244
20.53,0.26,0:08.84,235%,955244
20.00,0.28,0:08.53,237%,955244
20.31,0.31,0:08.81,234%,955244
20.73,0.26,0:08.91,235%,955244
20.11,0.28,0:08.57,237%,955244
20.22,0.28,0:08.64,237%,955244
20.41,0.21,0:08.81,234%,955244
20.30,0.22,0:08.67,236%,955244
20.27,0.29,0:08.72,235%,955244
20.35,0.27,0:08.76,235%,955244
20.16,0.28,0:08.60,237%,955244
20.29,0.32,0:08.70,236%,955244
20.11,0.29,0:08.64,236%,955244
20.61,0.30,0:08.86,235%,955244
20.47,0.27,0:08.83,234%,955244
20.22,0.29,0:08.68,236%,955244
20.29,0.31,0:08.73,235%,955244
20.44,0.26,0:08.73,237%,955244
20.08,0.22,0:08.55,237%,955244
20.21,0.24,0:08.68,235%,955244
20.40,0.24,0:08.74,236%,955244
20.03,0.25,0:08.58,236%,955244
20.12,0.29,0:08.57,238%,955244
20.38,0.31,0:08.80,235%,955244
20.30,0.26,0:08.64,237%,955244
19.92,0.30,0:08.54,236%,955244
20.04,0.21,0:08.51,237%,955244
20.32,0.21,0:08.65,237%,955244
20.03,0.25,0:08.53,237%,955244
20.23,0.31,0:08.71,235%,955244
20.48,0.27,0:08.77,236%,955244
19.94,0.26,0:08.53,236%,955244
20.15,0.28,0:08.69,235%,955244
20.06,0.29,0:08.62,236%,955244
20.37,0.23,0:08.78,234%,955244
