User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
1.23,0.07,0:00.97,134%,61128
1.32,0.05,0:00.59,231%,61128
1.29,0.03,0:00.56,233%,61128
1.27,0.03,0:00.56,231%,61128
1.21,0.05,0:00.53,235%,61128
1.32,0.04,0:00.60,227%,61128
1.36,0.05,0:00.63,224%,61128
1.30,0.04,0:00.58,229%,61128
1.33,0.01,0:00.57,233%,61128
1.19,0.04,0:00.53,231%,61128
1.24,0.02,0:00.56,226%,61128
1.21,0.03,0:00.55,226%,61128
1.26,0.04,0:00.58,226%,61128
1.32,0.03,0:00.60,224%,61128
1.38,0.02,0:00.62,226%,61128
1.23,0.05,0:00.56,226%,61128
1.38,0.04,0:00.62,225%,61128
1.35,0.03,0:00.61,225%,61128
1.33,0.02,0:00.59,227%,61128
1.24,0.02,0:00.53,237%,61128
1.32,0.03,0:00.59,230%,61128
1.22,0.04,0:00.55,227%,61128
1.27,0.03,0:00.57,226%,61128
1.36,0.05,0:00.62,228%,61128
1.25,0.04,0:00.55,232%,61128
1.28,0.03,0:00.55,238%,61128
1.24,0.02,0:00.55,229%,61128
1.25,0.03,0:00.56,227%,61128
1.28,0.03,0:00.56,232%,61128
1.39,0.00,0:00.60,232%,61128
1.31,0.04,0:00.58,232%,61128
1.27,0.03,0:00.56,235%,61128
1.23,0.05,0:00.56,230%,61128
1.36,0.04,0:00.62,225%,61128
1.31,0.01,0:00.59,222%,61128
1.30,0.02,0:00.59,223%,61128
1.32,0.04,0:00.59,231%,61128
1.28,0.02,0:00.56,231%,61128
1.29,0.03,0:00.58,227%,61128
1.34,0.04,0:00.60,229%,61128
1.31,0.04,0:00.58,231%,61128
1.27,0.02,0:00.56,231%,61128
1.35,0.02,0:00.61,225%,61128
1.29,0.03,0:00.59,223%,61128
1.28,0.04,0:00.56,234%,61128
1.24,0.03,0:00.57,223%,61128
1.28,0.02,0:00.54,238%,61128
1.33,0.02,0:00.59,231%,61128
1.37,0.05,0:00.63,226%,61128
1.30,0.04,0:00.58,231%,61128
1.32,0.04,0:00.59,228%,61128
1.38,0.04,0:00.62,229%,61128
1.33,0.03,0:00.59,228%,61128
1.27,0.03,0:00.56,232%,61128
1.24,0.01,0:00.52,240%,61128
1.33,0.05,0:00.59,233%,61128
1.32,0.02,0:00.59,230%,61128
1.33,0.04,0:00.60,229%,61128
1.33,0.04,0:00.59,231%,61128
1.25,0.04,0:00.55,234%,61128
1.44,0.03,0:00.64,227%,61128
1.31,0.03,0:00.59,228%,61128
1.20,0.04,0:00.53,234%,61128
1.35,0.03,0:00.60,230%,61128
1.28,0.04,0:00.56,232%,61128
1.25,0.03,0:00.56,229%,61128
1.24,0.03,0:00.55,231%,61128
1.25,0.04,0:00.54,237%,61128
1.41,0.01,0:00.62,228%,61128
1.21,0.04,0:00.53,236%,61128
1.33,0.03,0:00.60,226%,61128
1.28,0.04,0:00.56,237%,61128
1.28,0.03,0:00.56,234%,61128
1.37,0.04,0:00.61,229%,61128
1.29,0.03,0:00.57,229%,61128
1.23,0.04,0:00.54,232%,61128
1.38,0.04,0:00.62,229%,61128
1.27,0.03,0:00.55,234%,61128
1.25,0.03,0:00.56,229%,61128
1.35,0.03,0:00.60,230%,61128
1.26,0.04,0:00.56,229%,61128
1.30,0.02,0:00.58,227%,61128
1.32,0.02,0:00.57,235%,61128
1.24,0.03,0:00.55,230%,61128
1.37,0.03,0:00.61,229%,61128
1.30,0.03,0:00.58,230%,61128
1.26,0.02,0:00.55,232%,61128
1.31,0.03,0:00.59,228%,61128
1.23,0.02,0:00.54,231%,61128
1.42,0.02,0:00.63,227%,61128
1.24,0.02,0:00.55,228%,61128
1.24,0.04,0:00.54,234%,61128
1.25,0.06,0:00.57,230%,61128
1.28,0.04,0:00.58,225%,61128
1.21,0.05,0:00.55,227%,61128
1.22,0.05,0:00.55,231%,61128
1.32,0.04,0:00.60,227%,61128
1.30,0.04,0:00.59,225%,61128
1.39,0.03,0:00.63,226%,61128
1.32,0.03,0:00.58,231%,61128
1.22,0.04,0:00.52,242%,61128
1.39,0.02,0:00.62,226%,61128
1.36,0.03,0:00.60,231%,61128
1.28,0.03,0:00.56,234%,61128
1.27,0.03,0:00.56,233%,61128
1.29,0.01,0:00.56,231%,61128
1.34,0.02,0:00.60,228%,61128
1.31,0.03,0:00.58,233%,61128
