User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
0.66,0.04,0:00.58,120%,32024
0.68,0.01,0:00.30,228%,32024
0.61,0.04,0:00.30,220%,32024
0.66,0.01,0:00.29,224%,32024
0.65,0.02,0:00.29,229%,32024
0.65,0.02,0:00.30,223%,32024
0.67,0.02,0:00.32,217%,32024
0.70,0.03,0:00.32,224%,32024
0.67,0.01,0:00.30,229%,32024
0.67,0.02,0:00.31,225%,32024
0.65,0.04,0:00.30,226%,32024
0.65,0.01,0:00.30,220%,32024
0.61,0.03,0:00.29,223%,32024
0.61,0.03,0:00.28,225%,32024
0.64,0.02,0:00.29,226%,32024
0.69,0.03,0:00.32,223%,32024
0.73,0.02,0:00.34,223%,32024
0.67,0.03,0:00.31,223%,32024
0.68,0.03,0:00.32,224%,32024
0.67,0.01,0:00.31,218%,32024
0.66,0.01,0:00.30,226%,32024
0.66,0.03,0:00.31,224%,32024
0.60,0.03,0:00.27,235%,32024
0.67,0.01,0:00.30,228%,32024
0.60,0.02,0:00.28,224%,32024
0.66,0.02,0:00.30,222%,32024
0.65,0.03,0:00.31,218%,32024
0.68,0.02,0:00.32,220%,32024
0.71,0.02,0:00.34,214%,32024
0.67,0.02,0:00.30,226%,32024
0.67,0.02,0:00.31,222%,32024
0.59,0.03,0:00.28,218%,32024
0.67,0.03,0:00.31,224%,32024
0.59,0.03,0:00.27,232%,32024
0.62,0.03,0:00.29,224%,32024
0.60,0.04,0:00.29,220%,32024
0.69,0.02,0:00.32,220%,32024
0.62,0.04,0:00.29,229%,32024
0.64,0.02,0:00.29,226%,32024
0.70,0.02,0:00.33,219%,32024
0.66,0.00,0:00.30,222%,32024
0.67,0.02,0:00.31,220%,32024
0.70,0.01,0:00.31,226%,32024
0.64,0.02,0:00.30,220%,32024
0.68,0.02,0:00.31,221%,32024
0.62,0.01,0:00.29,216%,32024
0.62,0.03,0:00.29,223%,32024
0.64,0.02,0:00.31,216%,32024
0.64,0.03,0:00.30,221%,32024
0.68,0.02,0:00.31,223%,32024
0.63,0.03,0:00.29,226%,32024
0.68,0.01,0:00.31,220%,32024
0.67,0.02,0:00.32,214%,32024
0.61,0.04,0:00.29,225%,32024
0.63,0.02,0:00.29,222%,32024
0.60,0.03,0:00.28,225%,32024
0.67,0.03,0:00.32,219%,32024
0.70,0.03,0:00.33,221%,32024
0.67,0.02,0:00.31,220%,32024
0.59,0.04,0:00.28,222%,32024
0.59,0.04,0:00.27,228%,32024
0.63,0.02,0:00.30,215%,32024
0.62,0.01,0:00.28,224%,32024
0.68,0.01,0:00.30,227%,32024
0.59,0.03,0:00.28,221%,32024
0.62,0.04,0:00.29,224%,32024
0.65,0.03,0:00.30,227%,32024
0.65,0.03,0:00.31,219%,32024
0.67,0.03,0:00.32,221%,32024
0.65,0.03,0:00.30,225%,32024
0.67,0.03,0:00.31,223%,32024
0.72,0.03,0:00.34,220%,32024
0.64,0.04,0:00.32,212%,32024
0.60,0.03,0:00.28,227%,32024
0.70,0.03,0:00.33,223%,32024
0.66,0.02,0:00.30,222%,32024
0.67,0.01,0:00.30,225%,32024
0.58,0.05,0:00.27,229%,32024
0.66,0.00,0:00.30,220%,32024
0.61,0.02,0:00.27,228%,32024
0.63,0.02,0:00.29,225%,32024
0.65,0.03,0:00.30,222%,32024
0.63,0.03,0:00.29,227%,32024
